step, error
825, 0.00162909
826, 0.00162569
827, 0.00162219
828, 0.00161858
829, 0.00161489
830, 0.00161119
831, 0.00160753
832, 0.00160392
833, 0.00160038
834, 0.0015969
835, 0.00159348
836, 0.00159008
837, 0.00158671
838, 0.00158335
839, 0.00158
840, 0.00157665
841, 0.00157332
842, 0.00157
843, 0.00156671
844, 0.00156344
845, 0.00156022
846, 0.00155707
847, 0.00155401
848, 0.00155109
849, 0.00154836
850, 0.00154598
851, 0.00154407
852, 0.00154303
853, 0.00154321
854, 0.00154584
855, 0.00155174
856, 0.00156485
857, 0.00158675
858, 0.00163033
859, 0.00169427
860, 0.00181826
861, 0.00196059
862, 0.00221464
863, 0.00232726
864, 0.00244914
865, 0.00213112
866, 0.00178373
867, 0.00152109
868, 0.00157094
869, 0.00178635
870, 0.00183012
871, 0.00171336
872, 0.00152433
873, 0.0015096
874, 0.00163533
875, 0.00167482
876, 0.00159847
877, 0.00148219
878, 0.00148984
879, 0.00157126
880, 0.0015811
881, 0.00152365
882, 0.00146384
883, 0.00146688
884, 0.00150747
885, 0.00152156
886, 0.00149232
887, 0.00144728
888, 0.00143641
889, 0.00146258
890, 0.00147732
891, 0.00146318
892, 0.00143333
893, 0.00141969
894, 0.00142621
895, 0.00143809
896, 0.00143932
897, 0.00142335
898, 0.00140644
899, 0.00140127
900, 0.00140699
901, 0.00141151
902, 0.00140821
903, 0.00139908
904, 0.00138931
905, 0.0013835
906, 0.0013837
907, 0.00138588
908, 0.00138541
909, 0.00138028
910, 0.0013737
911, 0.00136781
912, 0.00136413
913, 0.00136275
914, 0.00136237
915, 0.00136122
916, 0.00135805
917, 0.00135388
918, 0.00134942
919, 0.00134549
920, 0.00134238
921, 0.00134025
922, 0.00133861
923, 0.00133677
924, 0.00133446
925, 0.00133165
926, 0.00132854
927, 0.00132518
928, 0.00132192
929, 0.00131892
930, 0.00131623
931, 0.00131371
932, 0.00131136
933, 0.00130908
934, 0.00130684
935, 0.00130456
936, 0.00130222
937, 0.00129985
938, 0.00129743
939, 0.001295
940, 0.00129257
941, 0.00129017
942, 0.00128781
943, 0.00128556
944, 0.00128341
945, 0.00128149
946, 0.00127971
947, 0.00127841
948, 0.0012775
949, 0.0012776
950, 0.00127863
951, 0.00128199
952, 0.00128739
953, 0.00129839
954, 0.00131336
955, 0.00134141
956, 0.0013762
957, 0.00143853
958, 0.0015017
959, 0.00160977
960, 0.00166842
961, 0.00175252
962, 0.00168488
963, 0.00159405
964, 0.00140466
965, 0.00127152
966, 0.00123876
967, 0.00129601
968, 0.00138096
969, 0.0013988
970, 0.00136342
971, 0.00127846
972, 0.0012242
973, 0.00122868
974, 0.00126793
975, 0.00130364
976, 0.00129294
977, 0.00125933
978, 0.00122125
979, 0.00120416
980, 0.00121367
981, 0.00123059
982, 0.00124307
983, 0.00123626
984, 0.00121814
985, 0.00119865
986, 0.00118705
987, 0.00118859
988, 0.00119518
989, 0.00120145
990, 0.00120117
991, 0.00119436
992, 0.00118469
993, 0.00117482
994, 0.00116979
995, 0.00116777
996, 0.00116886
997, 0.0011706
998, 0.00117075
999, 0.00116958
1000, 0.00116596
1001, 0.00116172
1002, 0.00115645
1003, 0.00115189
1004, 0.00114825
1005, 0.0011455
1006, 0.0011438
1007, 0.0011422
1008, 0.00114143
1009, 0.00114043
1010, 0.00113949
1011, 0.00113827
1012, 0.00113685
1013, 0.0011355
1014, 0.00113378
1015, 0.00113228
1016, 0.00113051
1017, 0.0011292
1018, 0.00112774
1019, 0.00112684
1020, 0.00112611
1021, 0.00112623
1022, 0.00112686
1023, 0.00112904
1024, 0.00113222
1025, 0.00113858
1026, 0.00114659
1027, 0.00116122
1028, 0.00117835
1029, 0.00120845
1030, 0.0012394
1031, 0.00129283
1032, 0.00133327
1033, 0.0014004
1034, 0.00141454
1035, 0.0014374
1036, 0.00136786
1037, 0.00129293
1038, 0.00118153
1039, 0.00110622
1040, 0.00108018
1041, 0.00110238
1042, 0.00114817
1043, 0.00117926
1044, 0.0011898
1045, 0.00115695
1046, 0.00111615
1047, 0.00107805
1048, 0.00106335
1049, 0.00107196
1050, 0.0010914
1051, 0.00110911
1052, 0.00111012
1053, 0.00110099
1054, 0.00108128
1055, 0.00106339
1056, 0.0010513
1057, 0.00104736
1058, 0.00105015
1059, 0.00105619
1060, 0.0010622
1061, 0.00106403
1062, 0.00106203
1063, 0.0010553
1064, 0.00104728
1065, 0.00103913
1066, 0.00103285
1067, 0.00102874
1068, 0.00102672
1069, 0.00102628
1070, 0.00102683
1071, 0.00102779
1072, 0.00102848
1073, 0.00102888
1074, 0.00102838
1075, 0.00102772
1076, 0.00102636
1077, 0.00102516
1078, 0.0010235
1079, 0.0010222
1080, 0.00102062
1081, 0.00101969
1082, 0.00101873
1083, 0.00101878
1084, 0.00101894
1085, 0.00102061
1086, 0.00102265
1087, 0.00102728
1088, 0.0010327
1089, 0.0010427
1090, 0.0010538
1091, 0.00107314
1092, 0.00109274
1093, 0.00112626
1094, 0.0011541
1095, 0.00120097
1096, 0.00122313
1097, 0.00126047
1098, 0.00124218
1099, 0.00122482
1100, 0.00115036
1101, 0.00108176
1102, 0.00101315
1103, 0.000976789
1104, 0.000973903
1105, 0.000995264
1106, 0.00102558
1107, 0.00104437
1108, 0.00105254
1109, 0.00103486
1110, 0.00101169
1111, 0.000982241
1112, 0.00096209
1113, 0.000954445
1114, 0.000958839
1115, 0.000970144
1116, 0.000980393
1117, 0.000987176
1118, 0.000984282
1119, 0.000977877
1120, 0.000966912
1121, 0.000957054
1122, 0.0009486
1123, 0.000942679
1124, 0.000938833
1125, 0.000936914
1126, 0.000936731
1127, 0.000937911
1128, 0.000940036
1129, 0.000942046
1130, 0.000943728
1131, 0.000944052
1132, 0.000943974
1133, 0.000942841
1134, 0.000942125
1135, 0.000940877
1136, 0.000940444
1137, 0.000939376
1138, 0.000939264
1139, 0.000938589
1140, 0.000939389
1141, 0.000940098
1142, 0.000943035
1143, 0.000946141
1144, 0.000952454
1145, 0.000958859
1146, 0.000970267
1147, 0.000981175
1148, 0.001
1149, 0.00101569
1150, 0.00104257
1151, 0.00105851
1152, 0.00108651
1153, 0.0010889
1154, 0.00109873
1155, 0.0010709
1156, 0.00104528
1157, 0.000993781
1158, 0.000950453
1159, 0.000911862
1160, 0.000891055
1161, 0.000887075
1162, 0.000895853
1163, 0.000911091
1164, 0.000924754
1165, 0.000935809
1166, 0.000935888
1167, 0.000932676
1168, 0.000919372
1169, 0.00090604
1170, 0.000890528
1171, 0.000878686
1172, 0.000870856
1173, 0.000867764
1174, 0.000868535
1175, 0.000871639
1176, 0.000875754
1177, 0.000878953
1178, 0.000881726
1179, 0.000882301
1180, 0.000882941
1181, 0.000882121
1182, 0.000882271
1183, 0.000881791
1184, 0.000882607
1185, 0.000882738
1186, 0.000884173
1187, 0.000884578
1188, 0.000886616
1189, 0.000887706
1190, 0.000891339
1191, 0.000894256
1192, 0.000900982
1193, 0.000906405
1194, 0.000917102
1195, 0.000924358
1196, 0.000938486
1197, 0.000945198
1198, 0.000959817
1199, 0.000961439
1200, 0.000970186
1201, 0.000960854
1202, 0.00095605
1203, 0.000933596
1204, 0.000914179
1205, 0.000886066
1206, 0.000862965
1207, 0.000842394
1208, 0.000829136
1209, 0.000822614
1210, 0.000822056
1211, 0.00082568
1212, 0.000831425
1213, 0.000838116
1214, 0.00084355
1215, 0.000848825
1216, 0.000851004
1217, 0.000853395
1218, 0.000852129
