reference,ssim,mse,trial
1218_orig.png,1218_kriz_ssim_fc.png,1218_kriz_mse_fc.png,12
1227_orig.png,1227_kriz_ssim_fc.png,1227_kriz_mse_fc.png,12
1232_orig.png,1232_kriz_ssim_fc.png,1232_kriz_mse_fc.png,12
1233_orig.png,1233_kriz_ssim_fc.png,1233_kriz_mse_fc.png,13
1243_orig.png,1243_kriz_ssim_fc.png,1243_kriz_mse_fc.png,13
1256_orig.png,1256_kriz_ssim_fc.png,1256_kriz_mse_fc.png,13
1277_orig.png,1277_kriz_ssim_fc.png,1277_kriz_mse_fc.png,13
1291_orig.png,1291_kriz_ssim_fc.png,1291_kriz_mse_fc.png,13
1292_orig.png,1292_kriz_ssim_fc.png,1292_kriz_mse_fc.png,13
1304_orig.png,1304_kriz_ssim_fc.png,1304_kriz_mse_fc.png,13
1307_orig.png,1307_kriz_ssim_fc.png,1307_kriz_mse_fc.png,13
1318_orig.png,1318_kriz_ssim_fc.png,1318_kriz_mse_fc.png,13
1320_orig.png,1320_kriz_ssim_fc.png,1320_kriz_mse_fc.png,13
1333_orig.png,1333_kriz_ssim_fc.png,1333_kriz_mse_fc.png,14
1335_orig.png,1335_kriz_ssim_fc.png,1335_kriz_mse_fc.png,14
1345_orig.png,1345_kriz_ssim_fc.png,1345_kriz_mse_fc.png,14
1356_orig.png,1356_kriz_ssim_fc.png,1356_kriz_mse_fc.png,14
1358_orig.png,1358_kriz_ssim_fc.png,1358_kriz_mse_fc.png,14
1367_orig.png,1367_kriz_ssim_fc.png,1367_kriz_mse_fc.png,14
1370_orig.png,1370_kriz_ssim_fc.png,1370_kriz_mse_fc.png,14
1372_orig.png,1372_kriz_ssim_fc.png,1372_kriz_mse_fc.png,14
1390_orig.png,1390_kriz_ssim_fc.png,1390_kriz_mse_fc.png,14
1397_orig.png,1397_kriz_ssim_fc.png,1397_kriz_mse_fc.png,14
1416_orig.png,1416_kriz_ssim_fc.png,1416_kriz_mse_fc.png,15
1426_orig.png,1426_kriz_ssim_fc.png,1426_kriz_mse_fc.png,15
1434_orig.png,1434_kriz_ssim_fc.png,1434_kriz_mse_fc.png,15
1437_orig.png,1437_kriz_ssim_fc.png,1437_kriz_mse_fc.png,15
1440_orig.png,1440_kriz_ssim_fc.png,1440_kriz_mse_fc.png,15
1455_orig.png,1455_kriz_ssim_fc.png,1455_kriz_mse_fc.png,15
1472_orig.png,1472_kriz_ssim_fc.png,1472_kriz_mse_fc.png,15
1475_orig.png,1475_kriz_ssim_fc.png,1475_kriz_mse_fc.png,15
1480_orig.png,1480_kriz_ssim_fc.png,1480_kriz_mse_fc.png,15
1502_orig.png,1502_kriz_ssim_fc.png,1502_kriz_mse_fc.png,15
1521_orig.png,1521_kriz_ssim_fc.png,1521_kriz_mse_fc.png,16
1551_orig.png,1551_kriz_ssim_fc.png,1551_kriz_mse_fc.png,16
1559_orig.png,1559_kriz_ssim_fc.png,1559_kriz_mse_fc.png,16
1573_orig.png,1573_kriz_ssim_fc.png,1573_kriz_mse_fc.png,16
